mode,lambda,test_macro_f1_mean,test_macro_f1_ci_low,test_macro_f1_ci_high,|test_delta_macro_f1|_mean,|test_delta_macro_f1|_ci_low,|test_delta_macro_f1|_ci_high,eo_gap_mean,eo_gap_ci_low,eo_gap_ci_high
FULL,0.0,0.5516435967265417,0.4936070824296957,0.6096801110233878,0.011602024262769572,-0.01755155096547958,0.04075559949101873,0.07533653450674056,0.05134594892565024,0.09932712008783089
FULL,0.05,0.5553894306035928,0.4711901946157207,0.639588666591465,0.009864428954280005,-0.015204932877158189,0.0349337907857182,0.0779563183990687,0.04491184248006383,0.11100079431807358
FULL,0.1,0.5575318641395689,0.4829283149597103,0.6321354133194276,0.008945653412908428,-0.009555724192136551,0.027447031017953406,0.07980866566997574,0.04144424693251805,0.11817308440743343
FULL,0.2,0.5520407166636604,0.49220053508925327,0.6118808982380675,0.009213978268394948,-0.013043463634313928,0.031471420171103826,0.07570976791413402,0.04744593383490702,0.103973601993361
FULL,0.5,0.5464821399545259,0.49106758378090065,0.6018966961281511,0.01280920156135601,-0.028721819032127914,0.05434022215483993,0.08273950180494388,0.04287271604937737,0.1226062875605104
FULL,1.0,0.5509782649429243,0.48282208023145845,0.6191344496543902,0.01281819428057096,-0.018873917842686036,0.04451030640382796,0.0815832002201811,0.04893011995185996,0.11423628048850225
