mode,lambda,test_macro_f1_mean,test_macro_f1_ci_low,test_macro_f1_ci_high,|test_delta_macro_f1|_mean,|test_delta_macro_f1|_ci_low,|test_delta_macro_f1|_ci_high,eo_gap_mean,eo_gap_ci_low,eo_gap_ci_high
LoRA,0.0,0.010615266020878958,-0.002904286439579528,0.024134818481337444,0.0032044986764210148,-0.0027001366724851853,0.009109134025327214,0.02642492577750338,-0.028364603280910766,0.08121445483591752
LoRA,0.05,0.01062000871876013,-0.002911932461802519,0.02415194989932278,0.0032064088162840447,-0.002721800044922045,0.009134617677490135,0.026415656834141422,-0.028376090907246788,0.08120740457552963
LoRA,0.1,0.010619965264357566,-0.002950009304418466,0.024189939833133597,0.0032042136232706187,-0.002687212154095901,0.009095639400637139,0.026247877534527442,-0.028215445411130937,0.08071120048018582
LoRA,0.2,0.01070727042822523,-0.0029153743169943788,0.024329915173444835,0.0032872834420225373,-0.002648944775127409,0.009223511659172484,0.026196804289495116,-0.028171364598676824,0.08056497317766706
LoRA,0.5,0.010708771758679313,-0.0025219103683429885,0.023939453885701616,0.003104377838361922,-0.003028721152393279,0.009237476829117124,0.026141767498328684,-0.028478142099521393,0.08076167709617876
LoRA,1.0,0.010565775877563173,-0.0024089436643598746,0.023540495419486218,0.003074721801672762,-0.0035636379437880856,0.00971308154713361,0.026385467756826514,-0.027665295118517313,0.08043623063217034
